"Country Name","Series Name","Employment Ratio","GDP","Gini Coefficient","Annual Inflation","Annual GHG Emissions","Annual PM2.5 Exposure","Natural Disasters","Died","Died per 100K","Died Cancer","Died Cancer per 100K","Died Lower Resp","Died Lower Resp per 100K","Life Expectancy"
"Canada",1979,58.879,243891124295.72,0.3347417,9.144676979,727986800,,1,168183,710.5143089,38584,163.0038951,4304,18.18289355,74.8395
"Canada",1980,59.426,274776566028.05,,10.12922051,732351170,,1,171473,716.3692117,39578,165.3465016,4924,20.57118029,75.0637
"Canada",1981,60.087,307246642755.86,0.32966557,12.47161241,717005250,,1,171029,702.5740248,40414,166.0176148,4656,19.12649118,75.4839
"Canada",1982,57.287,314647807408.61,0.32932413,10.7689719,691329600,,1,174413,708.2761421,41964,170.4121827,5447,22.11979695,75.6939
"Canada",1983,56.947,341866277182.73,,5.86358803,683804860,,1,174484,701.0261232,42865,172.219142,5997,24.09420727,76.0673
"Canada",1984,57.668,356718400123.54,0.33520237,4.304778304,715416060,,1,175727,699.3302266,44784,178.224205,5547,22.07506397,76.3556
"Canada",1985,58.752,366186012449.65,0.33176625,3.962030541,704896200,,2,181323,715.0355304,46333,182.7111907,5927,23.3727414,76.3472
"Canada",1986,59.764,379006836991.72,0.31680998,4.194786291,683992000,,4,184224,727.8905383,47448,187.4725891,6453,25.4965566,76.4892
"Canada",1987,60.61,433134238310.71,0.31655663,4.356108712,710089600,,3,184953,721.7649882,48617,189.7241377,6005,23.43405489,76.7956
"Canada",1988,61.661,509380027626.55,0.31201127,4.028234149,738928700,,2,190011,732.9738112,50756,195.7929739,6753,26.0499242,76.8595
"Canada",1989,62.187,567211993243.24,0.3101912,4.9836219,748686100,,2,190965,728.359746,51300,195.6633675,6703,25.5659172,77.1216
"Canada",1990,61.685,596075591360.99,0.3137178,4.780476933,747974600,10.092392,1,191973,722.2650709,52426,197.2437197,6736,25.3430301,77.4308
"Canada",1991,59.709,612527712315.62,0.31950226,5.625864086,730887000,,2,195568,716.4476552,53964,197.6927783,6834,25.03580993,77.5917
"Canada",1992,58.345,594387358318.86,0.31567687,1.490132904,750113000,,3,196535,691.1582664,54840,192.8568414,6689,23.52332991,77.8501
"Canada",1993,57.904,579053561739.4,0.31682763,1.865079365,753086900,,1,204912,707.8868277,56192,194.1202888,7105,24.54485784,77.7229
"Canada",1994,58.382,579944346807.26,0.31308895,0.165562914,775333900,,3,207077,707.9240923,57324,195.9707774,7356,25.14760028,77.8991
"Canada",1995,58.673,605961090061.21,0.31513026,2.148760331,797978000,9.7688465,4,210733,711.7891245,57810,195.2638139,7419,25.059025,78.0194
"Canada",1996,58.451,630607994132.75,0.32768053,1.570531125,819113660,,2,212859,717.3756989,59238,199.6434337,7524,25.35732461,78.271
"Canada",1997,58.968,654986999855.55,0.33116943,1.621216381,835827460,,3,215668,718.6897046,58703,195.6212407,8073,26.90237766,78.4642
"Canada",1998,59.735,6.34e+11,0.33217245,0.995942457,840680770,,3,218091,720.999833,60597,200.3311777,9140,30.21646227,78.6739
"Canada",1999,60.56,678412196271.12,0.33060935,1.734842951,849990660,,3,219530,719.5505453,61650,202.0693806,9068,29.72206234,78.8851
"Canada",2000,61.272,744773415931.59,0.33418295,2.719439957,891822700,9.200372,1,218062,708.2042662,62672,203.5410928,5094,16.54388446,79.2335
"Canada",2001,61.149,738981792355.37,0.33554783,2.52512014,911113200,,3,219538,707.7019557,63774,205.5816511,4872,15.70536275,79.4507
"Canada",2002,61.737,760649334098.01,0.3356031,2.258394409,899465200,,4,223603,712.7336997,65103,207.5155613,4822,15.37010639,79.568
"Canada",2003,62.444,895540646634.79,0.33809465,2.758563214,907308700,,7,226169,714.1618894,65990,208.3731328,5057,15.96822144,79.7396
"Canada",2004,62.638,1026690238278.25,0.33776483,1.857258719,900651600,,4,226584,708.3084319,66947,209.2783453,5831,18.22788223,80.0332
"Canada",2005,62.604,1173108598778.68,0.33621806,2.213552034,894764900,9.020256,5,230132,712.4940897,67343,208.4955134,5950,18.42134007,80.1364
"Canada",2006,62.836,1319264809590.97,0.3409054,2.002025395,863744800,,5,228079,700.9837758,67807,208.3997513,5250,16.13548298,80.5466
"Canada",2007,63.307,1468820407783.26,0.33841008,2.138383993,881690900,,3,235217,714.2767344,69595,211.3371454,5568,16.9081863,80.5495
"Canada",2008,63.349,1552989690721.65,0.33930567,2.370270674,843577900,,2,238617,715.7585669,70558,211.646668,5477,16.42887838,80.7388
"Canada",2009,61.584,1374625142157.29,0.33952153,0.299466803,785375500,,3,238418,706.5054909,71125,210.7651395,5914,17.52499171,81.0737
"Canada",2010,61.569,1617343367486.26,0.33592603,1.776871541,790780740,7.8840194,1,240075,703.0516145,71886,210.5157487,5192,15.20459849,81.3469
"Canada",2011,61.797,1793326630174.52,0.32657078,2.912135089,814090200,7.340077,4,242074,700.8682522,72477,209.8400833,5839,16.90544926,81.5286
"Canada",2012,61.903,1828366481521.6,0.33539012,1.515678231,812203260,7.6004953,3,246596,706.1330627,74361,212.9343569,5793,16.58838275,81.7221
"Canada",2013,62.047,1846597421834.98,0.3379898,0.938291898,825172000,7.275027,3,252338,714.9088432,75112,212.8028003,6690,18.95370559,81.8029
"Canada",2014,61.654,1805749878439.94,0.33157605,1.906635907,840806600,7.4920053,2,258821,725.7137571,77059,216.0673841,6735,18.88441106,81.8545
"Canada",2015,61.582,1556508816217.14,0.33746484,1.125241361,849021950,7.279802,1,264333,733.7146508,77054,213.8804035,7769,21.56457621,81.9246
"Canada",2016,61.283,1527994741907.43,0.32701823,1.428759547,811570600,6.2058234,2,267213,734.4457887,79084,217.3655876,6337,17.417502,82.0434
"Canada",2017,61.802,1649265644244.09,0.33308205,1.596884129,839291200,7.2818747,3,276689,753.2622357,79844,217.3684893,7499,20.41538878,82.0192
"Canada",2018,61.955,1725329192783.02,0.3250927,2.268225672,836759500,7.0787764,4,285704,770.6200278,79726,215.0423247,8746,23.59029892,82.0508
"Canada",2019,62.295,1743725183672.52,0.31749648,1.949269024,833164300,7.100156,2,285301,762.6116425,80372,214.834939,7022,18.76985694,82.3628
"Canada",2020,58.107,1655684730000.19,,0.716999632,756597400,,2,308412,817.1552689,81223,215.2049933,6041,16.00597571,82.0471
"Canada",2021,60.468,2007472181464.15,,3.395193185,768046000,,3,311640,818.6424138,82822,217.5638621,4146,10.89106484,82.6565
"Canada",2022,61.982,2161483369422.01,,6.802801153,781941060,,,334081,870.2650661,82412,214.6793282,6038,15.72870193,
"Canada",2023,62.06,2140085567791.45,,3.879001598,,,,,,,,,,
"Mexico",1900,,,,,80853130,,,,,,,,,25
"Mexico",1901,,,,,79503784,,,,,,,,,26.65
"Mexico",1902,,,,,77790920,,,,,,,,,28.37
"Mexico",1903,,,,,77715340,,,,,,,,,28.68
"Mexico",1904,,,,,78959070,,,,,,,,,29.09
"Mexico",1905,,,,,78795450,,,,,,,,,26.8
"Mexico",1906,,,,,79117250,,,,,,,,,27.88
"Mexico",1907,,,,,80181820,,,,,,,,,27.97
"Mexico",1908,,,,,82024104,,,,,,,,,28.72
"Mexico",1909,,,,,82427720,,,,,,,,,29.21
"Mexico",1910,,,,,74104950,,,,,,,,,28
"Mexico",1911,,,,,73188090,,1,,,,,,,
"Mexico",1912,,,,,69841410,,,,,,,,,
"Mexico",1913,,,,,71446900,,,,,,,,,
"Mexico",1914,,,,,68216060,,,,,,,,,
"Mexico",1915,,,,,69520460,,,,,,,,,
"Mexico",1916,,,,,71201420,,,,,,,,,
"Mexico",1917,,,,,78948550,,,,,,,,,
"Mexico",1918,,,,,83099100,,,,,,,,,
"Mexico",1919,,,,,92936824,,,,,,,,,
"Mexico",1920,,,,,135701860,,1,,,,,,,34
"Mexico",1921,,,,,154022930,,,,,,,,,
"Mexico",1922,,,,,151575120,,,,,,,,,32.6
"Mexico",1923,,,,,139946220,,,,,,,,,33.5
"Mexico",1924,,,,,137655230,,,,,,,,,32.8
"Mexico",1925,,,,,128583140,,,,,,,,,32.1
"Mexico",1926,,,,,116700740,,,,,,,,,34.2
"Mexico",1927,,,,,105054824,,,,,,,,,40.3
"Mexico",1928,,,,,99122330,,,,,,,,,34.5
"Mexico",1929,,,,,98483050,,1,,,,,,,35.4
"Mexico",1930,,,,,98815000,,,,,,,,,34
"Mexico",1931,,,,,97302180,,,,,,,,,37.7
"Mexico",1932,,,,,98844540,,2,,,,,,,38.4
"Mexico",1933,,,,,101412110,,,,,,,,,37.3
"Mexico",1934,,,,,104298940,,,,,,,,,38.2
"Mexico",1935,,,,,109682080,,,,,,,,,40.4
"Mexico",1936,,,,,111418730,,,,,,,,,38.3
"Mexico",1937,,,,,115736640,,1,,,,,,,36.8
"Mexico",1938,,,,,116107140,,,,,,,,,39.4
"Mexico",1939,,,,,117314820,,,,,,,,,45.5
"Mexico",1940,,,,,137568880,,,,,,,,,39
"Mexico",1941,,,,,148868860,,,,,,,,,42.6
"Mexico",1942,,,,,151500510,,,,,,,,,39.8
"Mexico",1943,,,,,159649470,,1,,,,,,,42.8
"Mexico",1944,,,,,164696770,,,,,,,,,43.2
"Mexico",1945,,,,,171275250,,,,,,,,,44.2
"Mexico",1946,,,,,179544450,,,,,,,,,44.8
"Mexico",1947,,,,,188629700,,,,,,,,,46.3
"Mexico",1948,,,,,193068750,,,,,,,,,48.3
"Mexico",1949,,,,,189301730,,1,,,,,,,45.8
"Mexico",1950,,,,,183209890,,,,,,,,,43.9656
"Mexico",1951,,,,,186402610,,1,,,,,,,44.8093
"Mexico",1952,,,,,190989740,,2,,,,,,,46.202
"Mexico",1953,,,,,190495630,,,,,,,,,47.6474
"Mexico",1954,,,,,195255310,,1,,,,,,,49.032
"Mexico",1955,,,,,197917660,,2,407522,1259.704767,8686,26.84958262,62177,192.1973864,50.2881
"Mexico",1956,,,,,199999860,,,368740,1105.495127,9826,29.45868394,51069,153.106608,51.406
"Mexico",1957,,,,,208184370,,1,414545,1205.019044,11044,32.10322238,66422,193.0786162,52.4073
"Mexico",1958,,,,,216408770,,,404529,1200.254572,11677,34.64615056,65210,193.4808151,53.3209
"Mexico",1959,,,,,221789860,,3,396924,1138.930176,11976,34.36382731,60751,174.3183762,54.1806
"Mexico",1960,,1.304e+10,,4.927518869,222010990,,,402545,1065.727265,12516,33.13577974,61812,163.6456389,55.0168
"Mexico",1961,,1.416e+10,,1.608759691,202288910,,1,388857,997.9377949,12864,33.01334885,58586,150.3513725,55.8315
"Mexico",1962,,1.52e+10,,1.198984178,192060780,,1,378104,940.6667478,13168,32.76003358,55360,137.7274802,56.5985
"Mexico",1963,,1.696e+10,,0.594055008,191680590,,,412833,995.6811682,14136,34.09356566,68583,165.4102302,57.3102
"Mexico",1964,,2.008e+10,,2.337903172,197755870,,1,408275,954.5585698,14933,34.91377901,60147,140.6253978,57.947
"Mexico",1965,,2.184e+10,,3.568038657,198572300,,1,404163,915.9739518,15440,34.99241102,60238,136.5202626,58.4992
"Mexico",1966,,2.432e+10,,4.215788377,205565220,,1,424141,931.7738369,15729,34.55424182,67240,147.7161434,58.9807
"Mexico",1967,,2.656e+10,,3.016948475,216152060,,3,420298,895.0850546,15724,33.48652004,62552,133.2134827,59.4196
"Mexico",1968,,2.936e+10,,2.333950935,220419650,,3,452910,935.146725,15937,32.90594899,78852,162.8098067,59.8349
"Mexico",1969,,3.248e+10,,3.367003367,222128750,,2,458886,970.6942505,17133,36.24190887,71871,152.0307146,60.2503
"Mexico",1970,,3.552e+10,,5.003412055,237763970,,1,485656,957.9958576,18415,36.32508137,83676,165.057698,60.6898
"Mexico",1971,,3.92e+10,,5.469028994,253006270,,1,458323,873.828408,18389,35.0600572,70200,133.8417541,61.1551
"Mexico",1972,,4.52e+10,,4.943692364,264248510,,1,476206,877.475585,19217,35.4099871,69087,127.302377,61.6143
"Mexico",1973,,5.528e+10,,12.08193946,275715260,,4,458915,817.1417888,19963,35.54601948,67504,120.1972899,62.0549
